Date,Open,High,Low,Close,Volume,Adj Close
1990-02-22,2583.56,2622.30,2568.02,2574.77,184320000,2574.77
1990-02-21,2596.85,2602.48,2556.31,2583.56,159240000,2583.56
1990-02-20,2619.14,2619.14,2579.05,2596.85,147300000,2596.85
